('g1_B', 'green') - ('g1_A', 'green'), 89.0893
('g1_A', 'green') - ('g1_B', 'white'), 105.3074
('g1_B', 'white') - ('g1_A', 'green'), 105.3074
('g1_A', 'green') - ('g1_B', 'blue'), 103.4272
('g1_B', 'blue') - ('g1_A', 'green'), 103.4272
('g1_A', 'green') - ('g2_A', 'red'), 18.7707
('g2_A', 'red') - ('g1_A', 'green'), 18.7707
('g1_A', 'green') - ('g2_A', 'green'), 32.6743
('g2_A', 'green') - ('g1_A', 'green'), 32.6743
('g1_A', 'green') - ('g2_A', 'white'), 27.2989
('g2_A', 'white') - ('g1_A', 'green'), 27.2989
('g1_A', 'green') - ('g2_A', 'blue'), 38.4118
('g2_A', 'blue') - ('g1_A', 'green'), 38.4118
('g1_A', 'green') - ('g2_B', 'red'), 52.9362
('g2_B', 'red') - ('g1_A', 'green'), 52.9362
('g1_A', 'green') - ('g2_B', 'green'), 60.1559
('g2_B', 'green') - ('g1_A', 'green'), 60.1559
('g1_A', 'green') - ('g2_B', 'white'), 66.1221
('g2_B', 'white') - ('g1_A', 'green'), 66.1221
('g1_A', 'green') - ('g2_B', 'blue'), 72.5587
('g2_B', 'blue') - ('g1_A', 'green'), 72.5587
('g1_A', 'green') - ('g2_C', 'red'), 93.6517
('g2_C', 'red') - ('g1_A', 'green'), 93.6517
('g1_A', 'green') - ('g2_C', 'green'), 99.7153
('g2_C', 'green') - ('g1_A', 'green'), 99.7153
('g1_A', 'green') - ('g2_C', 'white'), 106.5825
('g2_C', 'white') - ('g1_A', 'green'), 106.5825
('g1_A', 'green') - ('g2_C', 'blue'), 112.9830
('g2_C', 'blue') - ('g1_A', 'green'), 112.9830
('g1_A', 'green') - ('g3_A', 'red'), 65.0927
('g3_A', 'red') - ('g1_A', 'green'), 65.0927
('g1_A', 'green') - ('g3_A', 'green'), 72.2101
('g3_A', 'green') - ('g1_A', 'green'), 72.2101
('g1_A', 'green') - ('g3_A', 'white'), 78.0583
('g3_A', 'white') - ('g1_A', 'green'), 78.0583
('g1_A', 'green') - ('g3_A', 'blue'), 84.7621
('g3_A', 'blue') - ('g1_A', 'green'), 84.7621
('g1_A', 'green') - ('g3_B', 'red'), 104.6685
('g3_B', 'red') - ('g1_A', 'green'), 104.6685
('g1_A', 'green') - ('g3_B', 'green'), 111.6447
('g3_B', 'green') - ('g1_A', 'green'), 111.6447
('g1_A', 'green') - ('g3_B', 'white'), 116.8169
('g3_B', 'white') - ('g1_A', 'green'), 116.8169
('g1_A', 'green') - ('g3_B', 'blue'), 124.5249
('g3_B', 'blue') - ('g1_A', 'green'), 124.5249
('g1_A', 'green') - ('g3_C', 'red'), 138.1936
('g3_C', 'red') - ('g1_A', 'green'), 138.1936
('g1_A', 'green') - ('g3_C', 'green'), 149.4320
('g3_C', 'green') - ('g1_A', 'green'), 149.4320
('g1_A', 'green') - ('g3_C', 'white'), 144.1995
('g3_C', 'white') - ('g1_A', 'green'), 144.1995
('g1_A', 'green') - ('g3_C', 'blue'), 157.9235
('g3_C', 'blue') - ('g1_A', 'green'), 157.9235
('g1_A', 'green') - ('g4_A', 'red'), 73.4175
('g4_A', 'red') - ('g1_A', 'green'), 73.4175
('g1_A', 'green') - ('g4_A', 'green'), 67.0170
('g4_A', 'green') - ('g1_A', 'green'), 67.0170
('g1_A', 'green') - ('g4_A', 'white'), 86.3483
('g4_A', 'white') - ('g1_A', 'green'), 86.3483
('g1_A', 'green') - ('g4_A', 'blue'), 80.2847
('g4_A', 'blue') - ('g1_A', 'green'), 80.2847
('g1_A', 'green') - ('g4_B', 'red'), 113.8779
('g4_B', 'red') - ('g1_A', 'green'), 113.8779
('g1_A', 'green') - ('g4_B', 'green'), 107.4413
('g4_B', 'green') - ('g1_A', 'green'), 107.4413
('g1_A', 'green') - ('g4_B', 'white'), 127.0638
('g4_B', 'white') - ('g1_A', 'green'), 127.0638
